Unnamed: 0,position,name,matches,Age,goals,assists,weekly_wages,annual_wages
958,Right Winger,S. Amo-Ameyaw,8,19,0,1,15000,780000
959,Left Winger,M. Godo,7,22,2,2,17500,910000
960,Right Winger,A. Ouattara,13,20,3,0,7000,364000
963,Left-Back,M. Mittelstädt,12,28,1,2,95000,4940000
964,Centre-Back,F. Jeltsch,7,19,0,0,18000,936000
965,Centre-Back,J. Chabot,9,27,0,0,55000,2860000
966,Right-Back,L. Assignon,11,25,0,0,45000,2340000
967,Right-Back,J. Vagnoman,10,24,1,1,55000,2860000
968,Centre-Back,L. Jaquez,8,22,0,0,16000,832000
969,Centre-Back,A. Al-Dakhil,3,23,0,0,30000,1560000
970,Centre-Back,R. Hendriks,12,24,0,0,15000,780000
971,Right-Back,P. Stenzel,1,29,0,0,18000,936000
972,Centre-Back,D. Zagadou,2,26,0,0,45000,2340000
973,Defensive Midfield,A. Stiller,13,24,1,4,87000,4524000
974,Attacking Midfield,B. El Khannouss,9,21,3,1,55000,2860000
975,Defensive Midfield,A. Karazor,11,29,0,0,55000,2860000
976,Defensive Midfield,C. Andrés,10,20,1,1,15000,780000
977,Central Midfield,N. Nartey,8,25,0,0,12000,624000
978,Right Winger,J. Leweling,12,24,1,4,62000,3224000
979,Centre-Forward,E. Demirovic,10,27,5,1,90000,4680000
980,Centre-Forward,D. Undav,7,29,1,0,87000,4524000
981,Centre-Forward,T. Tomás,12,23,2,1,36000,1872000
982,Left Winger,C. Führich,12,27,1,1,65000,3380000
983,Right Winger,B. Bouanani,8,20,1,0,30000,1560000
984,Right Winger,L. Jovanovic,3,18,0,0,10000,520000
987,Right-Back,L. Geertruida,6,25,0,0,85000,4420000
988,Right-Back,Trai Hume,9,23,0,1,45000,2340000
989,Centre-Back,D. Ballard,7,26,1,0,35000,1820000
990,Centre-Back,O. Alderete,8,28,1,1,65000,3380000
991,Right-Back,N. Mukiele,8,27,1,0,100000,5200000
992,Left-Back,R. Mandava,6,31,0,0,50000,2600000
993,Left-Back,A. Masuaku,4,31,0,0,55000,2860000
994,Right-Back,N. Huggins,1,24,0,0,2500,130000
995,Central Midfield,H. Diarra,4,21,0,1,50000,2600000
996,Attacking Midfield,C. Rigg,7,18,0,0,35000,1820000
997,Central Midfield,E. Le Fée,9,25,1,0,75000,3900000
998,Central Midfield,N. Sadiki,9,20,0,0,40000,2080000
999,Defensive Midfield,G. Xhaka,9,33,0,3,110000,5720000
1000,Central Midfield,Dan Neil,3,23,0,0,15000,780000
1001,Attacking Midfield,M. Aleksic,1,20,0,1,5000,260000
1002,Attacking Midfield,H. Jones,1,20,0,0,5000,260000
1003,Left Winger,S. Adingra,6,23,0,1,70000,3640000
1004,Right Winger,C. Talbi,9,20,1,2,40000,2080000
1005,Centre-Forward,B. Brobbey,4,23,0,1,60000,3120000
1006,Centre-Forward,E. Mayenda,6,20,1,0,30000,1560000
1007,Centre-Forward,W. Isidor,10,25,4,0,25000,1300000
1008,Right Winger,P. Roberts,2,28,0,0,2500,130000
1009,Right Winger,B. Traoré,4,30,0,0,65000,3380000
1012,Centre-Back,R. Veiga,12,22,1,0,72000,3744000
1013,Centre-Back,J. Foyth,8,27,0,0,80000,4160000
1014,Centre-Back,R. Marín,9,23,1,0,50000,2600000
1015,Right-Back,S. Mouriño,11,23,0,1,25000,1300000
1016,Left-Back,S. Cardona,12,26,0,2,40000,2080000
1017,Right-Back,P. Navarro,2,20,0,0,12000,624000
1018,Left-Back,A. Pedraza,10,29,0,0,64000,3328000
1019,Right-Back,A. Altimira,1,24,0,0,8000,416000
1020,Defensive Midfield,P. Gueye,13,26,2,1,60000,3120000
1021,Central Midfield,S. Comesaña,12,29,1,1,45000,2340000
1022,Defensive Midfield,T. Partey,11,32,0,0,80000,4160000
1023,Central Midfield,D. Parejo,12,36,0,0,72000,3744000
1024,Centre-Forward,G. Mikautadze,9,24,3,1,90000,4680000
1025,Left Winger,A. Moleiro,13,22,2,1,60000,3120000
1026,Right Winger,I. Akhomach,7,21,0,1,16000,832000
1027,Left Winger,M. Solomon,4,26,1,1,72000,3744000
1028,Right Winger,T. Buchanan,13,26,4,0,60000,3120000
1029,Centre-Forward,T. Oluwaseyi,9,25,1,1,52000,2704000
1030,Right Winger,N. Pépé,13,30,2,2,68000,3536000
1031,Centre-Forward,A. Pérez,5,32,0,0,60000,3120000
1032,Centre-Forward,G. Moreno,3,33,1,0,72000,3744000
1035,Centre-Back,M. Kilman,10,28,0,0,100000,5200000
1036,Left-Back,E. Diouf,10,20,0,3,35000,1820000
1037,Centre-Back,J. Todibo,5,25,0,0,80000,4160000
1038,Right-Back,A. Wan-Bissaka,5,27,0,0,90000,4680000
1039,Centre-Back,Igor Julio,1,27,0,0,45000,2340000
1040,Centre-Back,K. Mavropanos,7,27,0,0,50000,2600000
1041,Right-Back,K. Walker-Peters,9,28,0,1,55000,2860000
1042,Left-Back,O. Scarles,2,19,0,0,20000,1040000
1043,Attacking Midfield,L. Paquetá,10,28,3,0,150000,7800000
1044,Central Midfield,M. Fernandes,7,21,1,0,60000,3120000
1045,Defensive Midfield,S. Magassa,5,22,0,0,35000,1820000
1046,Defensive Midfield,T. Souček,7,30,1,0,90000,4680000
1047,Central Midfield,J. Ward-Prowse,6,30,0,0,115000,5980000
1048,Defensive Midfield,G. Rodríguez,3,31,0,0,75000,3900000
1049,Central Midfield,A. Irving,6,25,0,0,15000,780000
1050,Defensive Midfield,F. Potts,4,22,0,0,15000,780000
1051,Right Winger,J. Bowen,10,28,3,2,150000,7800000
1052,Left Winger,C. Summerville,7,23,0,2,45000,2340000
1053,Right Winger,L. Guilherme,3,19,0,0,30000,1560000
1054,Centre-Forward,N. Füllkrug,7,32,0,0,90000,4680000
1055,Centre-Forward,C. Wilson,7,33,1,0,50000,2600000
1056,Centre-Forward,C. Marshall,2,20,0,0,15000,780000
1059,Centre-Back,Toti,7,26,0,0,80000,4160000
1060,Centre-Back,L. Krejci,7,26,1,1,45000,2340000
1061,Centre-Back,E. Agbadou,9,28,0,0,85000,4420000
1062,Left-Back,D. Wolfe,5,23,0,1,30000,1560000
1063,Right-Back,J. Tchatchoua,9,24,0,1,65000,3380000
1064,Centre-Back,S. Bueno,8,26,1,1,40000,2080000
1065,Centre-Back,Y. Mosquera,4,24,0,0,30000,1560000
1066,Left-Back,H. Bueno,11,23,0,0,25000,1300000
1067,Right-Back,K. Hoever,4,23,0,0,40000,2080000
1068,Right-Back,M. Doherty,6,33,0,0,50000,2600000
1069,Central Midfield,J. Gomes,11,24,0,1,105000,5460000
1070,Defensive Midfield,André,11,24,0,0,60000,3120000
1071,Central Midfield,J. Bellegarde,10,27,0,0,75000,3900000
1072,Attacking Midfield,Fer López,6,21,0,1,25000,1300000
1073,Central Midfield,M. Munetsi,10,29,2,1,70000,3640000
1074,Left Midfield,R. Gomes,8,22,2,0,25000,1300000
1075,Centre-Forward,J. Larsen,9,25,3,0,95000,4940000
1076,Centre-Forward,T. Arokodare,7,24,1,0,75000,3900000
1077,Right Winger,J. Arias,11,28,0,0,65000,3380000
1078,Centre-Forward,H. Hwang,9,29,1,0,70000,3640000
1079,Centre-Forward,S. Kalajdzic,2,28,0,0,20000,1040000
